appid	score	num_tags	total_tag_votes	name	release_date	positive_reviews	total_reviews	review_rating	rec_flag
1117620	1.5762483978704134	4	80	Someday	Aug 9, 2019	0	0	0.0	0
1116990	1.5637850649400138	1	22	Legend of Cenama	Jul 19, 2019	1	1	1.0	0
1114640	1.562796608399203	2	41	My Days with the Demoness	2019	0	0	0.0	0
1107390	1.5467652571990658	4	82	EARLY ACCESS CA$HGRAB	When it's ready	0	0	0.0	0
1118870	1.5445816557330139	3	60	Sort Battle: Dungeon	Jul 25, 2019	0	0	0.0	0
1099980	1.5421478151125378	3	62	<U+58A8><U+8272><U+4E09><U+56FD><U+5FD7>	Jun 27, 2019	4	4	1.0	0
1100050	1.5387841350035187	3	81	Perfect	Jun 28, 2019	1	1	1.0	0
1120950	1.5349799511295141	2	42	Chameleon Run Deluxe Edition	Aug 23, 2019	0	0	0.0	0
1119760	1.5349799511295141	2	40	Rainbow Jigsaw	Jul 26, 2019	0	0	0.0	0
1114630	1.5349799511295141	2	40	Dr. Tacocat	Jan 2022	0	0	0.0	0
1113670	1.5349799511295141	2	42	Mini Tekton	July	0	0	0.0	0
1112430	1.5349799511295141	2	42	ViviEon	July 24, 2019	0	0	0.0	0
1112130	1.5349799511295141	2	40	Cube DOA	Jan 1, 2020	0	0	0.0	0
1108950	1.5349799511295141	2	40	CopyCat	Sep 2019	0	0	0.0	0
1105730	1.5349799511295141	2	42	HANGMAN	Jul 18, 2019	1	1	1.0	0
1105300	1.5349799511295141	2	42	The Cube	Jul 9, 2019	3	3	1.0	0
1103540	1.5349799511295141	2	42	Stupid Bat	Jul 9, 2019	0	0	0.0	0
1103460	1.5349799511295141	2	42	Break my body	Jul 24, 2019	0	0	0.0	0
1101330	1.5349799511295141	2	42	World's Nicht	Jun 27, 2019	0	0	0.0	0
1110010	1.5207312452678046	4	72	The Doulos Study	Jul 19, 2019	0	0	0.0	0
1105140	1.5189892751677962	3	53	Triangulum	Jul 30, 2019	0	0	0.0	0
1103300	1.5189892751677962	3	53	Escape from Classroom	Jul 13, 2019	0	1	0.0	0
1119870	1.5178276025244208	2	41	Bot Land	Sep 24, 2019	0	0	0.0	0
1116300	1.5084570918723692	2	43	Bounce	Jul 2019	0	0	0.0	0
1107470	1.5013249895317549	4	60	Applewood	Sometime between August and October, 2019	0	0	0.0	0
1106740	1.4970303552814082	3	63	The Beast of Gevaudan	Aug 2, 2019	0	0	0.0	0
1107350	1.4857094425308437	2	42	Unsolved Mystery Club: Ancient Astronauts (Collector´s Edition)	Jul 12, 2019	0	0	0.0	0
1105110	1.4806712393172647	2	42	OXXO	Aug 2019	0	0	0.0	0
1101220	1.4524698469784045	5	70	Anticorps VR	Jul 30, 2019	0	0	0.0	0
1119630	1.4392728283809118	4	82	DarkFairyTales SleepingBeauty	Jul 24, 2019	0	0	0.0	0
1101660	1.4376667953411248	4	82	Cooking Trip: Back on the road	Jul 16, 2019	1	2	0.5	0
